Date,value,bird
4/22/20,1,savanna_sparrow
4/24/20,2,savanna_sparrow
9/30/20,1,savanna_sparrow
10/5/20,3,savanna_sparrow
10/9/20,1,savanna_sparrow
10/10/20,3,savanna_sparrow
10/12/20,2,savanna_sparrow
10/13/20,10,savanna_sparrow
10/15/20,1,savanna_sparrow
10/16/20,10,savanna_sparrow
10/17/20,5,savanna_sparrow
10/19/20,7,savanna_sparrow
10/20/20,15,savanna_sparrow
10/21/20,3,savanna_sparrow
10/23/20,9,savanna_sparrow
10/24/20,19,savanna_sparrow
10/25/20,2,savanna_sparrow
10/26/20,5,savanna_sparrow
10/28/20,80,savanna_sparrow
10/29/20,83,savanna_sparrow
10/30/20,66,savanna_sparrow
10/31/20,15,savanna_sparrow
11/1/20,26,savanna_sparrow
11/2/20,13,savanna_sparrow
11/3/20,16,savanna_sparrow
11/4/20,16,savanna_sparrow
11/5/20,24,savanna_sparrow
11/6/20,32,savanna_sparrow
11/7/20,20,savanna_sparrow
11/10/20,99,savanna_sparrow
11/11/20,19,savanna_sparrow
11/12/20,20,savanna_sparrow
11/13/20,12,savanna_sparrow
11/15/20,1,savanna_sparrow
11/16/20,2,savanna_sparrow
11/17/20,2,savanna_sparrow
11/18/20,2,savanna_sparrow
11/19/20,3,savanna_sparrow
11/20/20,1,savanna_sparrow
11/21/20,2,savanna_sparrow
11/23/20,4,savanna_sparrow
11/25/20,1,savanna_sparrow
11/29/20,1,savanna_sparrow
11/30/20,2,savanna_sparrow
9/22/21,1,savanna_sparrow
10/3/21,1,savanna_sparrow
10/4/21,1,savanna_sparrow
10/5/21,1,savanna_sparrow
10/6/21,1,savanna_sparrow
10/10/21,1,savanna_sparrow
10/12/21,1,savanna_sparrow
10/14/21,1,savanna_sparrow
10/15/21,5,savanna_sparrow
10/16/21,6,savanna_sparrow
10/17/21,4,savanna_sparrow
10/18/21,1,savanna_sparrow
10/19/21,1,savanna_sparrow
10/20/21,8,savanna_sparrow
10/21/21,10,savanna_sparrow
10/22/21,6,savanna_sparrow
10/23/21,8,savanna_sparrow
10/24/21,5,savanna_sparrow
10/25/21,8,savanna_sparrow
10/26/21,1,savanna_sparrow
10/27/21,47,savanna_sparrow
10/28/21,8,savanna_sparrow
10/29/21,33,savanna_sparrow
10/30/21,10,savanna_sparrow
10/31/21,27,savanna_sparrow
11/2/21,30,savanna_sparrow
11/4/21,14,savanna_sparrow
11/5/21,16,savanna_sparrow
11/6/21,14,savanna_sparrow
11/7/21,9,savanna_sparrow
11/8/21,9,savanna_sparrow
11/9/21,8,savanna_sparrow
11/10/21,7,savanna_sparrow
11/11/21,28,savanna_sparrow
11/12/21,3,savanna_sparrow
11/13/21,6,savanna_sparrow
11/14/21,7,savanna_sparrow
11/15/21,7,savanna_sparrow
11/16/21,2,savanna_sparrow
11/18/21,2,savanna_sparrow
11/19/21,4,savanna_sparrow
11/20/21,3,savanna_sparrow
11/21/21,6,savanna_sparrow
11/22/21,10,savanna_sparrow
11/23/21,11,savanna_sparrow
11/24/21,1,savanna_sparrow
11/25/21,2,savanna_sparrow
11/28/21,10,savanna_sparrow
11/29/21,6,savanna_sparrow
11/30/21,1,savanna_sparrow
12/2/21,1,savanna_sparrow
12/4/21,1,savanna_sparrow
12/5/21,4,savanna_sparrow
12/6/21,1,savanna_sparrow
9/25/22,1,savanna_sparrow
10/2/22,1,savanna_sparrow
10/6/22,4,savanna_sparrow
10/7/22,2,savanna_sparrow
10/8/22,2,savanna_sparrow
10/10/22,1,savanna_sparrow
10/11/22,1,savanna_sparrow
10/12/22,56,savanna_sparrow
10/13/22,4,savanna_sparrow
10/14/22,1,savanna_sparrow
10/16/22,1,savanna_sparrow
10/17/22,8,savanna_sparrow
10/18/22,12,savanna_sparrow
10/19/22,12,savanna_sparrow
10/20/22,2,savanna_sparrow
10/21/22,2,savanna_sparrow
10/22/22,11,savanna_sparrow
10/25/22,52,savanna_sparrow
10/26/22,110,savanna_sparrow
10/27/22,15,savanna_sparrow
10/28/22,21,savanna_sparrow
10/29/22,141,savanna_sparrow
10/30/22,26,savanna_sparrow
10/31/22,108,savanna_sparrow
11/1/22,157,savanna_sparrow
11/2/22,19,savanna_sparrow
11/3/22,18,savanna_sparrow
11/4/22,31,savanna_sparrow
11/5/22,96,savanna_sparrow
11/6/22,12,savanna_sparrow
11/7/22,34,savanna_sparrow
11/8/22,10,savanna_sparrow
11/9/22,10,savanna_sparrow
11/10/22,12,savanna_sparrow
11/11/22,8,savanna_sparrow
11/12/22,4,savanna_sparrow
11/13/22,17,savanna_sparrow
11/14/22,7,savanna_sparrow
11/15/22,4,savanna_sparrow
11/16/22,2,savanna_sparrow
11/17/22,2,savanna_sparrow
11/19/22,1,savanna_sparrow
11/20/22,1,savanna_sparrow
3/24/23,1,savanna_sparrow
3/30/23,9,savanna_sparrow
3/31/23,1,savanna_sparrow
10/6/23,3,savanna_sparrow
10/8/23,2,savanna_sparrow
10/12/23,10,savanna_sparrow
10/13/23,1,savanna_sparrow
10/14/23,7,savanna_sparrow
10/15/23,1,savanna_sparrow
10/16/23,17,savanna_sparrow
10/17/23,12,savanna_sparrow
10/18/23,11,savanna_sparrow
10/19/23,17,savanna_sparrow
10/20/23,30,savanna_sparrow
10/21/23,47,savanna_sparrow
10/22/23,14,savanna_sparrow
10/23/23,10,savanna_sparrow
10/24/23,4,savanna_sparrow
10/25/23,26,savanna_sparrow
10/26/23,1,savanna_sparrow
10/27/23,3,savanna_sparrow
10/28/23,1,savanna_sparrow
10/30/23,9,savanna_sparrow
10/31/23,42,savanna_sparrow
11/1/23,11,savanna_sparrow
11/2/23,21,savanna_sparrow
11/3/23,46,savanna_sparrow
11/4/23,25,savanna_sparrow
11/5/23,17,savanna_sparrow
11/6/23,16,savanna_sparrow
11/7/23,6,savanna_sparrow
11/8/23,6,savanna_sparrow
11/9/23,2,savanna_sparrow
11/10/23,17,savanna_sparrow
11/11/23,96,savanna_sparrow
11/12/23,29,savanna_sparrow
11/13/23,35,savanna_sparrow
11/14/23,169,savanna_sparrow
11/15/23,9,savanna_sparrow
11/16/23,42,savanna_sparrow
11/17/23,33,savanna_sparrow
11/18/23,100,savanna_sparrow
11/19/23,18,savanna_sparrow
11/21/23,12,savanna_sparrow
11/22/23,1,savanna_sparrow
11/23/23,1,savanna_sparrow
11/24/23,2,savanna_sparrow
12/2/23,5,savanna_sparrow
10/2/20,1,grasshopper_sparrow
10/10/20,1,grasshopper_sparrow
10/13/20,2,grasshopper_sparrow
10/14/20,3,grasshopper_sparrow
10/16/20,1,grasshopper_sparrow
10/17/20,1,grasshopper_sparrow
10/20/20,2,grasshopper_sparrow
10/21/20,1,grasshopper_sparrow
10/22/20,2,grasshopper_sparrow
10/23/20,1,grasshopper_sparrow
10/24/20,3,grasshopper_sparrow
10/25/20,1,grasshopper_sparrow
10/26/20,2,grasshopper_sparrow
10/28/20,12,grasshopper_sparrow
10/29/20,7,grasshopper_sparrow
10/30/20,3,grasshopper_sparrow
10/31/20,3,grasshopper_sparrow
11/4/20,3,grasshopper_sparrow
11/6/20,1,grasshopper_sparrow
11/7/20,1,grasshopper_sparrow
11/10/20,8,grasshopper_sparrow
11/11/20,2,grasshopper_sparrow
11/12/20,3,grasshopper_sparrow
11/13/20,1,grasshopper_sparrow
11/15/20,1,grasshopper_sparrow
11/20/20,1,grasshopper_sparrow
3/26/21,1,grasshopper_sparrow
3/28/21,1,grasshopper_sparrow
4/14/21,1,grasshopper_sparrow
4/25/21,1,grasshopper_sparrow
5/3/21,1,grasshopper_sparrow
10/11/21,1,grasshopper_sparrow
10/16/21,1,grasshopper_sparrow
10/22/21,1,grasshopper_sparrow
10/24/21,1,grasshopper_sparrow
10/25/21,4,grasshopper_sparrow
10/27/21,10,grasshopper_sparrow
10/28/21,2,grasshopper_sparrow
10/29/21,1,grasshopper_sparrow
10/31/21,2,grasshopper_sparrow
11/2/21,2,grasshopper_sparrow
11/7/21,4,grasshopper_sparrow
11/9/21,1,grasshopper_sparrow
11/10/21,1,grasshopper_sparrow
11/11/21,4,grasshopper_sparrow
11/14/21,2,grasshopper_sparrow
11/20/21,1,grasshopper_sparrow
11/23/21,1,grasshopper_sparrow
11/29/21,1,grasshopper_sparrow
11/30/21,1,grasshopper_sparrow
12/2/21,1,grasshopper_sparrow
4/23/22,2,grasshopper_sparrow
10/5/22,1,grasshopper_sparrow
10/7/22,2,grasshopper_sparrow
10/8/22,1,grasshopper_sparrow
10/11/22,1,grasshopper_sparrow
10/12/22,2,grasshopper_sparrow
10/17/22,1,grasshopper_sparrow
10/25/22,6,grasshopper_sparrow
