,STATE,COUNTRY,Date,value
0,Alabama,Canada,1997,10
1,Alabama,Canada,1998,15
2,Alabama,Canada,1999,22
3,Alabama,Canada,2000,38
4,Alabama,Canada,2001,14
5,Alabama,Canada,2002,24
6,Alabama,Canada,2003,21
7,Alabama,Canada,2004,28
8,Alabama,Canada,2005,26
9,Alabama,Canada,2006,38
10,Alabama,Canada,2007,22
11,Alabama,Canada,2008,14
12,Alabama,Canada,2009,13
13,Alabama,Canada,2010,13
14,Alabama,Canada,2011,13
15,Alabama,Canada,2012,19
16,Alabama,Canada,2013,14
17,Alabama,Canada,2014,5
18,Alabama,Canada,2015,6
19,Alabama,Canada,2016,5
20,Alabama,Canada,2017,4
21,Alabama,Canada,2018,6
22,Alabama,Canada,2019,10
23,Alabama,Canada,2021,2
24,Alberta,United States,1996,58
25,Alberta,United States,1997,46
26,Alberta,United States,1998,45
27,Alberta,United States,1999,3
28,Alberta,United States,2000,26
29,Alberta,United States,2001,24
30,Alberta,United States,2002,7
31,Alberta,United States,2003,13
32,Alberta,United States,2004,17
33,Alberta,United States,2005,64
34,Alberta,United States,2006,70
35,Alberta,United States,2007,41
36,Alberta,United States,2008,79
37,Alberta,United States,2009,78
38,Alberta,United States,2010,46
39,Alberta,United States,2011,45
40,Alberta,United States,2012,43
41,Alberta,United States,2013,75
42,Alberta,United States,2014,27
43,Alberta,United States,2015,51
44,Alberta,United States,2016,86
45,Alberta,United States,2017,115
46,Alberta,United States,2018,96
47,Alberta,United States,2019,80
48,Alberta,United States,2021,11
49,Arizona,Canada,1997,16
50,Arizona,Canada,1998,2
51,Arizona,Canada,1999,5
52,Arizona,Canada,2000,19
53,Arizona,Canada,2001,11
54,Arizona,Canada,2002,2
55,Arizona,Canada,2003,7
56,Arizona,Canada,2004,5
57,Arizona,Canada,2005,8
58,Arizona,Canada,2006,10
59,Arizona,Canada,2007,25
60,Arizona,Canada,2008,4
61,Arizona,Canada,2009,19
62,Arizona,Canada,2010,8
63,Arizona,Canada,2011,6
64,Arizona,Canada,2012,8
65,Arizona,Canada,2013,20
66,Arizona,Canada,2014,17
67,Arizona,Canada,2015,9
68,Arizona,Canada,2016,7
69,Arizona,Canada,2017,9
70,Arizona,Canada,2018,6
71,Arizona,Canada,2019,4
72,Arizona,Canada,2021,3
73,Arkansas,Canada,1997,17
74,Arkansas,Canada,1998,10
75,Arkansas,Canada,1999,16
76,Arkansas,Canada,2000,14
77,Arkansas,Canada,2001,6
78,Arkansas,Canada,2002,9
79,Arkansas,Canada,2003,5
80,Arkansas,Canada,2004,14
81,Arkansas,Canada,2005,11
82,Arkansas,Canada,2006,13
83,Arkansas,Canada,2007,8
84,Arkansas,Canada,2008,8
85,Arkansas,Canada,2009,10
86,Arkansas,Canada,2010,19
87,Arkansas,Canada,2011,27
88,Arkansas,Canada,2012,22
89,Arkansas,Canada,2013,15
90,Arkansas,Canada,2014,35
91,Arkansas,Canada,2015,28
92,Arkansas,Canada,2016,30
93,Arkansas,Canada,2017,28
94,Arkansas,Canada,2018,26
95,Arkansas,Canada,2019,11
96,Arkansas,Canada,2021,5
97,British Columbia,United States,2002,1
98,British Columbia,United States,2010,1
99,British Columbia,United States,2014,1
100,British Columbia,United States,2015,4
101,British Columbia,United States,2016,2
102,British Columbia,United States,2017,2
103,British Columbia,United States,2019,1
104,California,Canada,1997,71
105,California,Canada,1998,40
106,California,Canada,1999,66
107,California,Canada,2000,37
108,California,Canada,2001,52
109,California,Canada,2002,26
110,California,Canada,2003,29
111,California,Canada,2004,39
112,California,Canada,2005,20
113,California,Canada,2006,42
114,California,Canada,2007,71
115,California,Canada,2008,50
116,California,Canada,2009,36
117,California,Canada,2010,24
118,California,Canada,2011,12
119,California,Canada,2012,46
120,California,Canada,2013,26
121,California,Canada,2014,17
122,California,Canada,2015,15
123,California,Canada,2016,8
124,California,Canada,2017,8
125,California,Canada,2018,13
126,California,Canada,2019,6
127,California,Canada,2021,1
128,Colorado,Canada,1997,827
129,Colorado,Canada,1998,619
130,Colorado,Canada,1999,528
131,Colorado,Canada,2000,478
132,Colorado,Canada,2001,497
133,Colorado,Canada,2002,194
134,Colorado,Canada,2003,494
135,Colorado,Canada,2004,353
136,Colorado,Canada,2005,528
137,Colorado,Canada,2006,335
138,Colorado,Canada,2007,522
139,Colorado,Canada,2008,488
140,Colorado,Canada,2009,495
141,Colorado,Canada,2010,540
142,Colorado,Canada,2011,492
143,Colorado,Canada,2012,399
144,Colorado,Canada,2013,199
145,Colorado,Canada,2014,184
146,Colorado,Canada,2015,514
147,Colorado,Canada,2016,569
148,Colorado,Canada,2017,389
149,Colorado,Canada,2018,435
